-22.00601380437369;-47.89843791379851;5.0
-22.006018303489615;-47.89844275834957;5.0
-22.006031800837388;-47.89845729200274;5.0
-22.006051416982814;-47.89847851113637;5.0
-22.006072562827654;-47.89850176498145;5.0
-22.006093798654813;-47.898524921935504;5.0
-22.006115034481976;-47.89854807888956;5.0
-22.006140949389696;-47.89857133273463;5.0
-22.00617136341334;-47.898592358086226;5.0
-22.006201687454666;-47.89860650417531;5.0
-22.00623210147831;-47.89861096116229;5.0
-22.006262515501955;-47.89860572904715;5.0
-22.00629283954328;-47.898594199015626;5.0
-22.006323253566926;-47.898581118727776;5.0
-22.00635366759057;-47.89856813533094;5.0
-22.006383991631896;-47.898555151934104;5.0
-22.00641440565554;-47.89854207164625;5.0
-22.006444819679185;-47.89852908824941;5.0
-22.00647514372051;-47.898516104852575;5.0
-22.006505557744156;-47.89850312145575;5.0
-22.006535971767796;-47.89849004116789;5.0
-22.0065617966932;-47.89847705777105;5.0
-22.006583212484998;-47.89846407437422;5.0
-22.00660012916087;-47.89845099408636;5.0
-22.006608047604896;-47.89843965783689;5.0
-22.006609847251266;-47.89843481328583;5.0
