time;lat;lng;alt;voltage;current;level;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;heading;groundspeed;airspeed
0.0;-22.0059316;-47.8987339;-0.01;0.0;0.0;100.0;0.02738160267472267;1.4779938459396362;-0.005400390364229679;-0.02;0.0;0.02;3;9;84.0;0.019999999552965164;0.019999999552965164
1.0;-22.0059324;-47.8987344;0.0;0.0;0.0;100.0;0.024996215477585793;1.4774343967437744;-0.005255511961877346;-0.01;-0.01;0.01;3;9;84.0;0.009999999776482582;0.009999999776482582
2.0;-22.0059225;-47.8987368;0.83;0.0;0.0;100.0;-0.004141510464251041;1.040255069732666;0.002543199574574828;1.7;-0.21;-1.7;3;9;60.0;1.71999990940094;1.71999990940094
3.0;-22.0059028;-47.8987403;2.44;0.0;0.0;100.0;-0.03249061852693558;0.29361340403556824;-0.05746231600642204;1.45;-0.03;-1.45;3;9;16.0;1.4499999284744263;1.4499999284744263
4.0;-22.0058841;-47.898743;4.12;0.0;0.0;100.0;0.044781677424907684;-0.2153153121471405;0.01005729753524065;1.5;0.02;-1.5;3;9;347.0;1.5;1.5
5.0;-22.0058767;-47.8987402;4.78;0.0;0.0;100.0;0.03956659510731697;0.09277933835983276;0.08700516819953918;0.51;0.55;-0.51;3;9;5.0;0.7099999785423279;0.7099999785423279
6.0;-22.0058749;-47.8987225;5.08;0.0;0.0;100.0;-0.045166682451963425;0.739063560962677;0.0844033882021904;0.26;1.39;-0.26;3;9;42.0;1.4199999570846558;1.4199999570846558
7.0;-22.0058748;-47.8986959;5.3;0.0;0.0;100.0;-0.038030385971069336;1.4782276153564453;0.015987204387784004;0.07;1.7;-0.07;3;9;84.0;1.75;1.75
8.0;-22.0058764;-47.8986703;5.17;0.0;0.0;100.0;-0.08593182265758514;1.6004058122634888;-0.048523735255002975;0.09;1.57;-0.09;3;9;91.0;1.659999966621399;1.659999966621399
9.0;-22.0058725;-47.8986425;5.14;0.0;0.0;100.0;-0.09015961736440659;1.55171799659729;-0.005717678461223841;0.32;2.15;-0.32;3;9;89.0;2.190000057220459;2.190000057220459
10.0;-22.0058696;-47.8986205;5.17;0.0;0.0;100.0;-0.06048441678285599;1.5624761581420898;-0.006060359999537468;0.26;2.2;-0.26;3;9;89.0;2.2100000381469727;2.2100000381469727
11.0;-22.0058683;-47.8985933;5.07;0.0;0.0;100.0;-0.09158767014741898;1.5268985033035278;-0.01001005619764328;0.11;2.25;-0.11;3;9;87.0;2.200000047683716;2.200000047683716
12.0;-22.0058676;-47.8985656;4.99;0.0;0.0;100.0;-0.010135304182767868;1.702652931213379;0.0975661650300026;-0.09;2.35;0.09;3;9;100.0;2.369999885559082;2.369999885559082
13.0;-22.0058763;-47.8985537;4.91;0.0;0.0;100.0;-0.1081923097372055;2.47992205619812;0.047530680894851685;-1.25;0.84;1.25;3;9;144.0;1.5;1.5
14.0;-22.0058987;-47.8985485;4.85;0.0;0.0;100.0;-0.0823555737733841;3.0614869594573975;-0.0018374999053776264;-1.7;0.58;1.7;3;9;178.0;1.8499999046325684;1.8499999046325684
15.0;-22.0059229;-47.8985434;4.97;0.0;0.0;100.0;-0.07324893027544022;3.08894944190979;-0.023267989978194237;-1.91;0.61;1.91;3;9;176.0;1.9199999570846558;1.9199999570846558
16.0;-22.0059456;-47.8985374;5.05;0.0;0.0;100.0;-0.09020618349313736;3.090346574783325;-0.0026349227409809828;-1.99;0.55;1.99;3;9;177.0;2.0299999713897705;2.0299999713897705
17.0;-22.0059619;-47.8985346;5.12;0.0;0.0;100.0;-0.08290975540876389;3.062939405441284;-0.019524162635207176;-2.19;0.39;2.19;3;9;175.0;2.259999990463257;2.259999990463257
18.0;-22.0059857;-47.8985313;5.16;0.0;0.0;100.0;-0.09613456577062607;3.0656349658966064;-0.026296820491552353;-2.39;0.35;2.39;3;9;175.0;2.429999828338623;2.429999828338623
19.0;-22.0060075;-47.8985292;5.17;0.0;0.0;100.0;-0.010675579309463501;-3.073934316635132;0.017108159139752388;-2.73;0.24;2.73;3;9;177.0;2.7300000190734863;2.7300000190734863
20.0;-22.0060373;-47.8985304;5.11;0.0;0.0;100.0;0.011123116128146648;-2.6056995391845703;0.13084082305431366;-1.86;-0.16;1.86;3;9;220.0;1.5699999332427979;1.5699999332427979
21.0;-22.0060432;-47.8985468;4.89;0.0;0.0;100.0;-0.11433669924736023;-1.743133306503296;0.006543242838233709;-0.76;-1.2;0.76;3;9;257.0;1.2699999809265137;1.2699999809265137
22.0;-22.0060452;-47.8985627;4.98;0.0;0.0;100.0;-0.0805509090423584;-1.4549388885498047;-0.03780953586101532;-0.45;-1.61;0.45;3;9;276.0;1.6699999570846558;1.6699999570846558
23.0;-22.0060484;-47.8985885;5.13;0.0;0.0;100.0;-0.07757752388715744;-1.5748587846755981;-0.0211064163595438;-0.38;-2.13;0.38;3;9;269.0;2.169999837875366;2.169999837875366
24.0;-22.0060503;-47.898616;5.19;0.0;0.0;100.0;-0.0962301716208458;-1.5624483823776245;-0.027094407007098198;-0.21;-2.4;0.21;3;9;270.0;2.379999876022339;2.379999876022339
25.0;-22.0060511;-47.8986388;5.24;0.0;0.0;100.0;-0.09432654827833176;-1.5830103158950806;-0.027898982167243958;-0.24;-2.64;0.24;3;9;269.0;2.7799999713897705;2.7799999713897705
26.0;-22.006052;-47.8986768;5.11;0.0;0.0;100.0;-0.09372878074645996;-1.559961199760437;-0.014448790811002254;-0.08;-3.13;0.08;3;9;269.0;3.0299999713897705;3.2300000190734863
27.0;-22.0060517;-47.8987053;5.12;0.0;0.0;100.0;0.12400884926319122;-1.5513416528701782;-0.01670033484697342;-0.04;-3.27;0.04;3;9;270.0;2.929999828338623;2.929999828338623
28.0;-22.006053;-47.8987246;4.78;0.0;0.0;100.0;0.024794289842247963;-1.5389238595962524;0.006456902250647545;-0.5;-1.41;0.5;3;9;271.0;1.5;1.5
29.0;-22.0060564;-47.898731;4.83;0.0;0.0;100.0;0.031623438000679016;-1.5214766263961792;0.051319584250450134;-0.19;-0.75;0.19;3;9;272.0;1.059999942779541;0.75
30.0;-22.0060574;-47.8987326;4.9;0.0;0.0;100.0;0.029081111773848534;-1.5640521049499512;0.023688070476055145;-0.14;-0.36;0.14;3;9;270.0;0.38999998569488525;0.38999998569488525
31.0;-22.0060587;-47.898732;5.01;0.0;0.0;100.0;0.009370110929012299;-1.585158109664917;0.06745053082704544;0.11;-0.03;-0.11;3;9;269.0;0.10999999940395355;0.10999999940395355
32.0;-22.0060562;-47.8987309;5.08;0.0;0.0;100.0;4.185102880001068E-4;-1.5439931154251099;0.02161671407520771;0.42;0.13;-0.42;3;9;271.0;0.4099999964237213;0.4099999964237213
33.0;-22.0060522;-47.8987301;5.12;0.0;0.0;100.0;0.03267350792884827;-1.5856349468231201;0.0034849978983402252;0.42;0.11;-0.42;3;9;269.0;0.3799999952316284;0.3799999952316284
34.0;-22.0060489;-47.8987284;5.16;0.0;0.0;100.0;0.022262465208768845;-1.5610531568527222;-0.008823700249195099;0.38;0.17;-0.38;3;9;271.0;0.41999998688697815;0.41999998688697815
35.0;-22.006048;-47.898728;5.16;0.0;0.0;100.0;0.04951953515410423;-1.5212104320526123;-0.002322887070477009;0.17;0.04;-0.17;3;9;272.0;0.14000000059604645;0.14000000059604645
36.0;-22.0060482;-47.8987267;4.95;0.0;0.0;100.0;-0.0068306950852274895;-1.4986534118652344;-0.006574660073965788;-0.04;0.08;0.04;3;9;273.0;0.08999999612569809;0.08999999612569809
37.0;-22.0060494;-47.8987276;4.55;0.0;0.0;100.0;0.033307697623968124;-1.5738364458084106;0.017709683626890182;-0.09;-0.04;0.09;3;9;268.0;0.09999999403953552;0.09999999403953552
38.0;-22.0060492;-47.898727;4.1;0.0;0.0;100.0;-0.0036497111432254314;-1.5894131660461426;-0.009288924746215343;0.0;0.14;0.0;3;9;267.0;0.14000000059604645;0.14000000059604645
39.0;-22.0060485;-47.8987262;3.6;0.0;0.0;100.0;0.05704060196876526;-1.607295036315918;-0.027459735050797462;-0.19;0.03;0.19;3;9;269.0;0.07999999821186066;0.07999999821186066
40.0;-22.0060508;-47.8987247;2.83;0.0;0.0;100.0;-0.003788498928770423;-1.6621177196502686;0.03161820396780968;-0.03;0.12;0.03;3;9;264.0;0.08999999612569809;0.08999999612569809
41.0;-22.0060502;-47.8987244;2.36;0.0;0.0;100.0;-0.001694244216196239;-1.6817944049835205;0.08922003954648972;0.01;0.21;-0.01;3;9;264.0;0.20999999344348907;0.20999999344348907
42.0;-22.0060466;-47.8987259;1.62;0.0;0.0;100.0;0.04247000813484192;-1.666124939918518;-0.10087024420499802;0.39;-0.22;-0.39;3;9;265.0;0.44999998807907104;0.44999998807907104
43.0;-22.006048;-47.8987261;1.04;0.0;0.0;100.0;0.06732568144798279;-1.6462769508361816;0.04984433576464653;-0.26;0.16;0.26;3;9;264.0;0.3199999928474426;0.3199999928474426
44.0;-22.0060473;-47.8987229;0.38;0.0;0.0;100.0;0.0089133745059371;-1.5022767782211304;-0.02261972986161709;-0.07;0.22;0.07;3;9;270.0;0.11999999731779099;0.11999999731779099
45.0;-22.0060472;-47.8987233;0.33;0.0;0.0;100.0;0.004752720706164837;-1.5038502216339111;0.007313012145459652;-0.01;0.03;0.01;3;9;273.0;0.009999999776482582;0.009999999776482582
46.0;-22.0060474;-47.8987238;0.32;0.0;0.0;100.0;-0.002589878626167774;-1.495242714881897;0.007287248503416777;-0.01;0.0;0.01;3;9;274.0;0.0;0.0
47.0;-22.0060483;-47.8987244;0.25;0.0;0.0;100.0;-0.007180380634963512;-1.481958270072937;0.005909823812544346;0.0;-0.01;0.0;3;9;275.0;0.009999999776482582;0.009999999776482582
48.0;-22.0060495;-47.898725;0.18;0.0;0.0;100.0;-0.008486175909638405;-1.4723392724990845;0.005911113228648901;0.0;0.0;0.0;3;9;275.0;0.0;0.0
49.0;-22.0060509;-47.8987253;0.16;0.0;0.0;100.0;-0.008575730957090855;-1.4689184427261353;0.006004904862493277;-0.01;0.0;0.01;3;9;275.0;0.0;0.0
50.0;-22.0060517;-47.8987252;0.18;0.0;0.0;100.0;-0.008639619685709476;-1.4674009084701538;0.005909817758947611;0.0;0.0;0.0;3;9;275.0;0.0;0.0
51.0;-22.0060523;-47.8987245;0.22;0.0;0.0;100.0;-0.008713528513908386;-1.4664901494979858;0.005953152198344469;0.0;0.0;0.0;3;9;275.0;0.009999999776482582;0.009999999776482582
52.0;-22.0060525;-47.8987237;0.22;0.0;0.0;100.0;-0.00854590442031622;-1.4648962020874023;0.0059676929377019405;0.0;0.0;0.0;3;9;276.0;0.009999999776482582;0.009999999776482582
53.0;-22.0060525;-47.8987226;0.23;0.0;0.0;100.0;-0.008668278343975544;-1.4647364616394043;0.0062684123404324055;-0.01;0.01;0.01;3;9;276.0;0.009999999776482582;0.009999999776482582
54.0;-22.0060524;-47.8987218;0.23;0.0;0.0;100.0;-0.008585535921156406;-1.4652981758117676;0.0062027922831475735;0.0;0.01;0.0;3;9;276.0;0.009999999776482582;0.009999999776482582
55.0;-22.0060523;-47.8987208;0.28;0.0;0.0;100.0;-0.008435701951384544;-1.46431303024292;0.00649624178186059;-0.02;-0.02;0.02;3;9;276.0;0.009999999776482582;0.009999999776482582
56.0;-22.0060522;-47.8987203;0.34;0.0;0.0;100.0;-0.09574595093727112;-1.4469056129455566;0.025067385286092758;-0.01;-0.02;0.01;3;9;276.0;0.17000000178813934;0.17000000178813934
57.0;-22.0060504;-47.8987194;0.86;0.0;0.0;100.0;-0.3812236189842224;-1.565402626991272;-0.46721023321151733;0.03;0.47;-0.03;3;9;278.0;0.5199999809265137;0.5199999809265137
58.0;-22.0060414;-47.8987195;0.99;0.0;0.0;100.0;-0.41776952147483826;-2.5904664993286133;0.0244368277490139;0.93;-0.16;-0.93;3;9;217.0;0.9399999976158142;0.9399999976158142
59.0;-22.006035;-47.89872;0.92;0.0;0.0;100.0;-0.35120269656181335;-2.431145191192627;-0.1624891608953476;1.14;-0.39;-1.14;3;8;222.0;1.209999918937683;1.209999918937683
60.0;-22.0060202;-47.8987229;0.78;0.0;0.0;100.0;-0.27546045184135437;-2.2082691192626953;-0.17703042924404144;1.11;-0.14;-1.11;3;8;237.0;1.2999999523162842;1.2999999523162842
61.0;-22.0060062;-47.8987276;0.77;0.0;0.0;100.0;-0.096234992146492;-2.2672715187072754;-0.3032543659210205;1.2;-0.13;-1.2;3;9;230.0;1.1100000143051147;1.1100000143051147
62.0;-22.0059903;-47.8987339;0.78;0.0;0.0;100.0;-0.09807846695184708;-2.1946282386779785;-0.2815036177635193;1.27;-0.14;-1.27;3;9;235.0;1.209999918937683;1.209999918937683
63.0;-22.0059788;-47.8987363;0.8;0.0;0.0;100.0;-0.032803311944007874;-2.2363619804382324;-0.3633776009082794;1.09;-0.01;-1.09;3;9;234.0;1.100000023841858;1.100000023841858
64.0;-22.0059631;-47.8987368;0.8;0.0;0.0;100.0;0.011361297219991684;-2.3763060569763184;-0.32799968123435974;1.19;-0.03;-1.19;3;9;225.0;1.2200000286102295;1.2200000286102295
65.0;-22.0059526;-47.8987347;0.8;0.0;0.0;100.0;-0.0870528295636177;-2.1559877395629883;-0.28752949833869934;1.31;0.14;-1.31;3;9;235.0;1.3199999332427979;1.3199999332427979
66.0;-22.0059397;-47.898733;0.85;0.0;0.0;100.0;0.0011860692175105214;-2.0437169075012207;-0.3409183621406555;1.12;0.03;-1.12;3;9;244.0;1.1200000047683716;1.1799999475479126
67.0;-22.0059304;-47.89873;0.89;0.0;0.0;100.0;0.005145324859768152;-1.9161924123764038;-0.2699739634990692;1.05;0.25;-1.05;3;9;249.0;1.090000033378601;1.090000033378601
68.0;-22.00592;-47.8987242;0.89;0.0;0.0;100.0;-0.0787147507071495;-1.6570680141448975;-0.20002344250679016;0.82;0.51;-0.82;3;9;265.0;0.9599999785423279;0.9599999785423279
69.0;-22.0059135;-47.898718;0.6;0.0;0.0;100.0;-0.022722242400050163;1.8975465297698975;-0.22126831114292145;0.85;0.72;-0.85;3;9;98.0;0.7899999618530273;0.7899999618530273
70.0;-22.0059061;-47.8987099;0.28;0.0;0.0;100.0;-0.032723087817430496;1.477059006690979;-0.07555066049098969;0.03;-0.03;-0.03;3;9;84.0;0.05999999865889549;0.05999999865889549
71.0;-22.0059027;-47.8987063;0.26;0.0;0.0;100.0;6.079636514186859E-4;1.454937219619751;-0.03690135478973389;0.01;0.03;-0.01;3;9;83.0;0.029999999329447746;0.029999999329447746
72.0;-22.0059084;-47.8987109;0.32;0.0;0.0;100.0;0.014753572642803192;1.4469046592712402;-0.019878119230270386;-0.01;0.0;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
73.0;-22.005919;-47.8987195;0.39;0.0;0.0;100.0;0.019015038385987282;1.446004867553711;-0.014821971766650677;-0.01;-0.01;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
74.0;-22.0059269;-47.8987257;0.45;0.0;0.0;100.0;0.019978005439043045;1.4462112188339233;-0.013527853414416313;0.0;-0.02;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
75.0;-22.0059325;-47.8987299;0.49;0.0;0.0;100.0;0.020278137177228928;1.446271300315857;-0.0129933413118124;0.01;0.0;-0.01;3;9;82.0;0.019999999552965164;0.019999999552965164
76.0;-22.0059366;-47.8987327;0.58;0.0;0.0;100.0;0.02029011771082878;1.4467260837554932;-0.012895576655864716;-0.01;-0.01;0.01;3;9;82.0;0.0;0.0
77.0;-22.0059379;-47.8987333;0.63;0.0;0.0;100.0;0.020284315571188927;1.4469629526138306;-0.012734058313071728;-0.01;-0.01;0.01;3;9;82.0;0.019999999552965164;0.019999999552965164
78.0;-22.0059382;-47.898733;0.64;0.0;0.0;100.0;0.020355507731437683;1.4467430114746094;-0.012738327495753765;0.01;-0.02;-0.01;3;9;82.0;0.009999999776482582;0.019999999552965164
79.0;-22.0059378;-47.8987322;0.68;0.0;0.0;100.0;0.020573584362864494;1.4478683471679688;-0.012760003097355366;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
80.0;-22.0059373;-47.8987315;0.69;0.0;0.0;100.0;0.020462702959775925;1.4487526416778564;-0.01292476337403059;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
